  ErrorNumber	ErrorText
10055	Essayer à nouveau d'envoyer votre paiement  dans 5 minutes.  Les paiements par carte de crédit sont temporairement suspendus car nous effectuons un rapprochement des ventes.
10056	Essayer à nouveau d'envoyer votre paiement  dans une minute.  Les paiements par carte de crédit sont temporairement suspendus car nous effectuons un rapprochement des ventes.
10057	Numéro de carte de crédit {cardtype} invalide
10058	Date d'expiration de carte de crédit invalide
10059	Autorisation de carte de crédit - Erreur {error}
10060	Paiement confirmé
10061	Paiement confirmé - toutefois, une erreur SMTP s'est produite lors de l'envoi de la confirmation à votre adresse courriel.
10062	Vous avez déjà demandé que votre commande vous soit envoyée par courrier.
10063	Vous avez demandé que vos billets et vos {passes} vous soient envoyés par courrier.
10064	Vous avez demandé que vos billets vous soient envoyés par courrier.
10065	Vous avez demandé que vos {passes} vous soient envoyés par courrier.
10066	Aucuns frais d'affranchissement ne sont facturés pour les dons.
10067	Veuillez acheter des articles avant d'ajouter des frais de port.
10068	Que souhaitez-vous faire?
10069	Vous avez fermé votre session.
10070	Vous avez fermé votre session. {br}Votre panier a été vidé et tous les articles ont été remis en vente.
10071	échec de la tentative d'accès direct à la page '{pagename}' au moyen de la méthode GET.
10072	Impossible de mettre {count} {seat} en attente
10073	Nous avons mis en attente {count} {seat} pour votre compte.
10074	Impossible de mettre {count} {seat} en attente {br}Aucun tarif ne peut être obtenu pour les représentations sélectionnées.
10075	Impossible d'obtenir l'autorisation pour votre carte de crédit.  Veuillez appeler la billetterie au {mainphone}.
10076	Utilisation non prévue du bouton Précédent ou Suivant
10077	Impossible d'accéder à la page {error}
10078	Les billets pour la représentation ne sont plus en vente.
10079	Numéro CID, CVC2 ou CVV2 de la carte de crédit invalide ou manquant
10080	Vous devez sélectionner un {pass}.
10081	Impossible de trouver une représentation correspondant à vos critères dans le lieu suivant {venuetitle}. {br}Veuillez modifier votre recherche.
10082	Impossible de trouver une représentation correspondant à vos critères. {br}Veuillez modifier votre recherche.
10083	L'achat de billets nécessite que les témoins (cookies) soient activés pour ce site. {br}Veuillez modifier les options de votre navigateur de sorte qu'il les accepte.
10084	Deuxième tentative d'obtenir une autorisation au moyen de cette carte de crédit aujourd'hui. {br}Veuillez appeler la billetterie au {mainphone} afin de vérifier votre achat ou d'utiliser une autre carte de crédit.
10085	"Votre session a expiré; votre panier et votre sélection de billets ont été réinitialisés. {br}Vous devez séléctionner de nouveaux billets à ajouter à votre panier."
10086	{count} événement(s) affiché(s).  Utilisez la sélection de pages pour en voir plus.
10087	Il n'y a aucun billet à afficher pour des spectacles futurs.
10088	ID Utilisateur introuvable
10089	Ticket numéro {ticketnumber} non trouvé - veuillez le numériser à nouveau ou l'entrer manuellement.
10090	Le billet numéro {ticketnumber} ne correspond pas à la représentation indiquée.
10091	Le client a déjà utilisé le billet numéro {ticketnumber}.
10092	L'événement correspondant au billet numéro {ticketnumber} doit avoir lieu à une date ultérieure.
10093	Cliquez sur OK pour entrer.
10094	Le client n'est pas présent sur le lieu de l'événement.
10095	Cliquez sur OK pour sortir.
10096	Le billet # {ticketnumber} n'a pas été vendu.
10097	Aucun abonnement actif à afficher
10098	{subscriptionseries} a fait l'objet d'une annulation. {br}Merci de nous en informer
10099	Impossible d'annuler l'abonnement sélectionné. {br}Merci de prendre contact directement avec la billetterie
10100	{subscriptionseries} est à nouveau au programme. {br}Veuillez utiliser l'option Renouveler l'abonnement pour acheter vos places.
10101	Impossible de rétablir l'abonnement sélectionné. {br}Merci de prendre contact directement avec la billetterie
10102	Impossible de renouveler l'abonnement {subscriptionseries} - erreur de codage de la page web
10103	Abonnement {subscriptionseries} déjà en cours de renouvellement. {br}Veuillez vérifier votre panier ou appeler la billetterie.
10104	Impossible de trouver l'abonnement {subscriptionseries} pour le renouveler - {error}. {br}Veuillez prendre contact avec la billetterie.
10105	L'abonnement {subscriptionseries} n'est plus en vente. {br}Veuillez prendre contact avec la billetterie.
10106	Impossible de vendre l'abonnement {subscriptionseries}. {br}Il ne contient aucun événement. {br}Veuillez prendre contact avec la billetterie.
10107	Les méthodes de vente de l'abonnement {subscriptionseries} diffèrent. {br}Veuillez prendre contact avec la billetterie.
10108	Les lieux de spectacle correspondant à l'abonnement {subscriptionseries} diffèrent. {br}Veuillez prendre contact avec la billetterie.
10109	Vous avez peut-être déjà un abonnement pour tous les soirs. {br}Veuillez prendre contact avec la billetterie pour modifier une soirée.
10110	Panier plein.  Veuillez payer vos achats en cours.
10111	Impossible de trouver des {seat} identiques pour tous les événements à un tarif adapté à une vente par abonnement. {br}Veuillez prendre contact avec la billetterie.
10112	Nous avons tenté de retenir un {seat} d'abonné, sans y parvenir. {br}Veuillez prendre contact avec la billetterie.
10113	Veuillez sélectionner un forfait d'abonnement dans la liste pour en créer un nouveau.
10114	La quantité à réserver doit être supérieure à zéro. {br}Erreur de codage de la page - veuillez prendre contact avec la billetterie.
10115	Impossible de trouver le {seat} {seatnumber} lors de la recherche du meilleur abonnement possible. {br}Veuillez prendre contact avec la billetterie au {mainphone}.
10116	Erreur de configuration: contrôle de l'abonnement. L'événement numéro {error} ne fait pas partie du forfait d'abonnement. {br}Veuillez prendre contact avec la billetterie au {mainphone}.
10117	Erreur de configuration: l'abonnement ne permet pas de choisir le code de prix ou la section que vous essayez de sélectionner. {br}Veuillez prendre contact avec la billetterie au {mainphone}.
10118	Erreur de configuration: aucun code de prix existant pour les places mises en vente. {br}Veuillez prendre contact avec la billetterie au {mainphone}.
10119	Merci de nous indiquer comment vous avez entendu parler des événements pour lesquels vous achetez.
10120	Impossible d'utiliser le bouton Précédent pour consulter la confirmation de paiement. {br}Celle-ci vous a été envoyée par courriel. {br}Vous pouvez aussi utiliser l'option Afficher mes {performances} à venir.
10121	Mot de passe invalide
10122	Privilèges d'enregistrement ou de paiement erronés.
10123	Des erreurs se sont produites pendant le paiement. {br}Certains articles du panier peuvent ne pas avoir été réservés. {br}Veuillez appeler la billetterie pour vérifier votre commande.
10124	Le billet {ticketnumber} est destiné à un autre point de vente.
10125	Les billets sont nécessairement pour aujourd'hui si la lecture optique n'indique pas de représentation précise.
10126	Erreur - Le mot de passe contient les caractères spéciaux {error}, qui ne peuvent pas être utilisés.
10127	Veuillez sélectionner un mode de paiement.
10128	Erreur dans le panier. {br}Le coût total du panier ne correspond pas aux coûts individuels des articles. {br}Veuillez essayer de supprimer certains articles et de les réserver à nouveau, ou appelez la billetterie au {mainphone} pour obtenir de l'aide.
10129	Nous sommes désolés, mais une erreur concernant les billets s'est produite dans votre panier d'achat. {br} Si vous recevez ce message, veuillez prendre contact avec la billetterie. {br} Vous pouvez aussi vous déconnecter et essayer de réserver à nouveau les billets. {br}Dans tous les cas, veuillez appeler la billetterie au {mainphone} {br} en signalant cette erreur de sorte que nous puissions améliorer votre expérience sur notre site web.
10130	échec de l'envoi des données de la carte de crédit. {br}Veuillez prendre contact avec la billetterie au {mainphone}.
10131	Erreur inattendue lors de la récupération des données de la carte {last4digits} dans le fichier de témoins. {br}Veuillez prendre contact avec la billetterie pour terminer votre commande {br}ou essayer d'utiliser une autre carte de crédit.
10132	échec de l'enregistrement physique du paiement. {br}Veuillez prendre contact avec la billetterie au {mainphone}.
10133	Billetterie en ligne désactivée pour tous les points de vente dans les préférences du système.
10134	Billetterie en ligne désactivée pour ce lieu dans les préférences de l'organisme.
10135	Le détecteur web a reçu une requête interrompue. {br}Veuillez prendre contact avec la billetterie.
10136	"Le détecteur web n'a pas pu trouver le témoin qu'il cherchait {br}pendant le processus de paiement; cela peut découler de l'utilisation du bouton Précédent. {br}Veuillez prendre contact avec la billetterie."
10137	"Le détecteur web n'a pas pu trouver le témoin qu'il cherchait {br}pendant le processus de paiement; cela peut découler de l'utilisation du bouton Précédent. {br}La somme ayant toutefois pu être débité de votre carte, veuillez prendre contact sans tarder avec la billetterie."
10138	Veuillez indiquer le nom de l'acheteur.
10139	Pour finaliser cet achat, vous devez impérativement prendre contact avec la billetterie au {mainphone}.
10140	Erreur - Le mot de passe ne doit pas dépasser {passwordmaxlength} caractères.
10141	Veuillez indiquer une adresse courriel, afin de pouvoir créer un compte.
10142	Veuillez utiliser les boutons Précédent ou Suivant du calendrier pour voir d'autres mois.
10143	Erreur - Code de coupon {couponcode} déjà ajouté au panier ou non reconnu
10144	Code de coupon {couponcode} accepté
10145	Veuillez indiquer si vous souhaitez vous connecter à votre compte {br}ou simplement entrer vos coordonnées pour continuer.
10146	Vous devez indiquer une adresse de courriel pour payer.
10147	Adresse postale requise au moment de passer commande.  Veuillez en entrer une maintenant.
10148	Erreur - Impossible d'ajouter vos coordonnées à la liste de diffusion.
10149	Votre adresse de courriel, {email}, a été vérifiée, et {br}vous avez confirmé votre abonnement à la liste de diffusion.
10150	Votre adresse de courriel, {email}, n'a pas pu être vérifiée, car les paramètres de validation étaient inexacts.
10151	Votre adresse de courriel, {email}, a été supprimée de toutes les listes de diffusion {br}auxquelles vous vous étiez précédemment abonné(e) en ligne.
10152	Vous avez précédemment confirmé votre inscrption aux listes de diffusion, au moyen de {br}l'adresse de courriel {email}. {br}Veuillez vous connecter pour modifier vos inscriptions.
10153	Veuillez vérifier la liste des participants aux {course} figurant dans votre panier {br}et cliquer au besoin sur 'Mon compte' pour y ajouter des membres de votre foyer.
10154	Veuillez entrer les renseignements concernant la personne de votre foyer que vous ajoutez.
10155	Vous devez confirmer que avez lu les conditions générales de vente avant de finaliser la commande.
10156	Votre panier est vide ou contient des articles dont la valeur ne permet de finaliser la transaction.
10157	Vous ne pouvez pas utiliser le bouton Précédent pour visionner les pages {br}si, pour une raison ou pour une autre, votre panier n'est plus ouvert. {br}Merci de consulter vos anciens paniers à la place.
10158	Vous devez ajouter au moins un article à votre panier {br}pour pouvoir finaliser votre achat (autre que des frais ou un coupon).
10159	Impossible de trouver une représentation qui soit associée au genre et corresponde à tout autre critère. {br}Merci de corriger votre recherche.
10160	Impossible de trouver {count} {seat}, même séparés, parmi les meilleurs {seat} disponibles dans la section demandée {br}Merci de chercher dans une section différente
10161	Impossible de trouver {count} {seat}, même séparés, parmi les meilleurs {seat} disponibles
10162	Contactez la billetterie au sujet de cette adresse courriel, {br}car il est actuellement impossible de l'utiliser pour se connecter.
10163	En choisissant Billet(s) électronique(s), vous devez imprimer vous-même {br}vos billets après avoir effectué votre paiement. Vous devrez les présenter au {performance}.
10164	Vous avez choisi de retirer vos billets au guichet.
10165	Choisissez les articles du forfait que vous souhaitez ajouter à votre panier.
10166	Vous devez choisir et ajouter au moins un article dans votre panier en sélectionnant une quantité supérieure à zéro.
10167	Lors de votre dernier achat, vous avez choisi de fournir uniquement une adresse de courriel. {br}Vous devez à présent changer votre mot de passe pour poursuivre l'ouverture de la session et voir vos achats antérieurs.
10168	Veuillez choisir le mode de gestion et de retrait de vos billets.
10169	Impossible de trouver {count} {seat} voisins parmi les meilleurs {seat} disponibles dans la section demandée.
10170	Impossible de trouver {count} {seat} voisins parmi les meilleurs {seat} disponibles dans la section et au prix demandés.
10171	Impossible de trouver {count} {seat}, même séparés, parmi les meilleurs {seat} disponibles dans la section demandée.{br}Merci de chercher dans une section différente.
10172	Impossible de trouver {count} {seat}, même séparés, parmi les meilleurs {seat} disponibles au prix demandé.
10173	Veuillez renouveler votre abonnement au moyen de la liste ci-dessous (même si vous souhaitez des changements).{br} Vous pouvez aussi créer un nouvel abonnement.
10174	Impossible de verrouiller le panier pour procéder au paiement - statut {error}. {br}Tous les billets se trouvant dans le panier devraient toujours y être. {br}Réessayez ou contactez la billetterie.
10175	Votre panier a peut-être été payé. {br}Vérifiez votre historique ou votre panier actuel. {br}Veuillez demander de l'aide à la billetterie si vous pensez qu'une erreur s'est produite.
10176	Impossible de créer une commande pendant le contrôle. {Br} S'il vous plaît, contactez la billetterie au {mainphone}.
10177	Sélectionnez un intervalle de dates et / ou le type d'activité pour visualiser vos activités.
10178	{count}  activités affichée. Utilisez la sélection de page pour voir plus.
10179	Vous ne trouvez pas toutes les activités correspondant aux critères{br}S'il vous plaît réviser votre recherche.
10180	Il n'y a rien disponible correspondant à vos critères {dateerror}br}Choisir une autre plage de dates ou partie claire de la plage de dates.
10181	Vous ne trouvez pas toutes les {volunteer} dossiers correspondant aux critères.
10182	Sélectionnez une plage de dates et / ou le type d'activité pour voir vos activités {volunteer}.
10183	Entrer dans le numéro de commande et un code unique pour la {pass}.
10184	Les valeurs de certificat-cadeaux et passes sont énumérés ci-dessous.
10185	S'il vous plaçit, indiquez comment vous avez entendu parler de nous ou la raison de votre achat
10186	Votre prochaine activité est affichée ci-dessous.
10187	Vos passes et certificats-cadeaux disponibles sont énumérés ci-dessous.
10188	Entrez une combinaison de chiffres / mot de passe de contrôle pour vérifier le solde.
10189	Numéro de contrôle valide / combinaison de mot de passe. Contactez la billetterie de l'aide.
10190	Ce lien de changement de mot de passe n'est plus valide pour plusieurs raisons possibles.{br}{br}Vous pourriez avoir pris trop de temps -ou- avoir déjà réinitialisé le mot de passe -ou-{br}avoir utilisé un ancien lien -ou- avoir contacté la billetterie qui a modifié les données manuellement.{br}{br}S'il vous plaît ignorez ce courriel et demandez à nouveau la réinitialisation de votre mot de passe par courriel.
10191	En essayant de changer le mot de passe pour {email}{br}le profil correspondant n'a pas été trouvé.{br}{br}Contactez la billetterie au {mainphone}.
10192	Une erreur inattendue est survernue en trouvant certaines données.{br}Contactez la billetterie au {mainphone} avec une copie de la page avec l'erreur.
10193	La {pass} que vous essayez d'utiliser est actuellement en cours d'utilisation dans un autre panier. Essayez d'ajouter la {pass} plus tard, ou en appelant la billetterie au {mainphone}.
10194	(obligatoire)
10195	(obligatoire si vous n'êtes pas une entreprise)
10196	(obligatoire si les nom et prénom n'ont pas été entrés)
10197	(obligatoire si le nom n'a pas été entré) 
10198	Erreur - Votre compte a été bloqué en raison de trop nombreuses tentatives de connexion qui n'ont pas abouti.  S'il vous plaît, utilisez le bouton Oublié mon Mot de Passe pour entrer un nouveau mot de passe et accéder de nouveau.
10199	Impossible de réserver les sièges sélectionnés en raison de la disponibilité ou des règles s'appliquant au remplissage de la salle. {br}Par exemple, vous ne pouvez pas laisser un siège seul vide.{br}Vos sièges sont encore en attente.
10200	{seats} échangés avec succès.
10201	Le billet numéro {ticketnumber} appartient à un client autre que celui associé à ce billet.
10202	Le code barre est associée au client  numéro {patronnumber}, mais ce client n'a pas pu être trouvé dans la base de donnée.
10203	Une erreur est survenue lors de la vérification du prix du panier. S'il vous plaît, réessayez plus tard.
10204	La base de données est actuellement occupée et incapable de traiter l'action demandée. S'il vous plaît, réessayez plus tard.
10205	Impossible de communiquer avec le serveur.{br}S'il vous plaît, réessayez plus tard ou appelez la billetterie au {mainphone}.
10206	Pas de sièges sélectionnés; sièges inchangés.
10207	Numéro de téléphone requis au moment de passer la commande.  Veuillez en entrer un maintenant.
10208	Le contenu du panier empêche de passer la commande.{br}{error}
10209	{title} ({date} à {time}): les paniers en cours et complétés contiennent un nombre de billets qui dépasse le montant maximum de {allowed} autorisé.
10210	Le nom inscrit sur la carte de crédit est manquant.
10211	Voici les meilleurs siéges disponibles.  Si vous préférez différents sièges, sélectionnez les sièges disponibles sur la carte ci-dessous.
10212	Nom et prénom ou nom de compagnie doivent être saisis.
10213	Nom ou nom de compagnie doivent être saisis.
10214	Prénom doit être inscrit.
10215	Nom de famille doit être inscrit.
10216	Nom de compagnie doit être entrée
10217	Sexe semble être incorrect.
10218	Anniversaire semble être incorrect.
10219	Un autre {patron} a été trouvé avec ces données.  S'il vous plaît appeler la billetterie au {mainphone}.
10220	{outlet} est requis.  S'il vous plaît, appelez la billetterie au {mainphone}
10221	{mkt1} est requis.
10222	{mkt2} est requis.
10223	{mkt3} est requis.
10224	{mkt4} est requis.
10225	{mkt5} est requis.
10226	{mkt6} est requis.
10227	{mkt6} est invalide.
10228	{mkt7} est requis.
10229	{mkt7} est invalide.
10230	{mkt8} est requis.
10231	{mkt8} est invalide.
10232	Code Age est nécessaire.
10233	Code Age est invalide.
10234	Cette adresse n'est pas associée à un foyer.  S'il vous plaît appelez la billetterie au {mainphone}.
10235	Au moins l'une des lignes d'adresse doivent être entrée
10236	La ville doit être entrée.
10237	{prov} doit être entré.
10238	{prov} semble être dans un pays différent
10239	Le pays doit être entré.
10240	Code postal / Zip doit être entré.
10241	Code postal / Zip est invalide.
10242	Pays inconnu.
10243	Cette coordonnée n'est pas associée à un {household}.  S'il vous plaît, appelez la billetterie au {mainphone}.
10244	Cette coordonnée n'est pas associée à un {patron}. S'il vous plaît, appelez la billetterie au {mainphone}.
10245	Cette coordonnée n'est pas associée à une adresse.  S'il vous plaît, appelez la billetterie au {mainphone}.
10246	Cette coordonnée n'est pas associée à un emplacement.  S'il vous plaît, appelez la billetterie au {mainphone}.
10247	Cette coordonnée n'est pas un emplacement valide.  S'il vous plaît, appelez la billetterie au {mainphone}.
10248	Au moins une adresse est nécessaire.
10249	"{contents}" n'est pas associé à un foyer
10250	"{contents}" semble être d'un type invalide.
10251	"{contents}" semble avoir un contenu invalide.
10252	"{contents}" semble être un numéro de téléphone mais n'est pas dans un champ correspondant à un numéro de téléphone.
10253	"{contents}" semble être une adresse courriel mais n'est pas dans un champ correspondant à une adresse courriel.
10254	"{contents}" semble être un site web mais n'est pas dans un champ correspondant à un site web.
10255	"{contents}" semble être invalide.  Incapable de rechercher le server mail exchange pour cette adresse courriel.
10256	"{contents}" semble être invalide.  Incapable de rechercher le server DNS pour cette adresse courriel.
10257	"{contents}" est en cours d'utilisation et ne peut être utilisé pour créer un nouveau compte.{br}Si ceci est votre adresse courriel, demandez plutôt votre mot de passe.
10258	"{contents}" est déjà associé à votre compte.
10259	Retapez le mot de passe de vérification.
10260	"{contents}" n'a pas d'indicatif régional.
10261	Cette coordonnée n'est pas associé à un {household}.  S'il vous plaît, appelez la billetterie au {mainphone}.
10262	Cette coordonnée n'est pas associé à un {patron}.  S'il vous plaît appelez la billetterie au {mainphone}.
10263	Cette coordonnée n'est pas associé à un contact.  S'il vous plaît appelez la billetterie au {mainphone}.
10264	Cette coordonnée n'est pas associé à un lieu.  S'il vous plaît appelez la billetterie au {mainphone}.
10265	Lieu invalide pour cette coordonnée.  S'il vous plaît appelez la billetterie au {mainphone}.
10266	Au moins un numéro de téléphone est nécessaire.
10267	Cette coordonnée n'a pas été trouvée.  S'il vous plaît appelez la billetterie au {mainphone}.
10268	Voici les meilleurs sièges encore disponibles.  Si vous préférez différents sièges, sélectionnez ceux disponibles sur la carte ci-dessous.
10269	Temporairement incapable de générer des PDFs. S'il vous plaît réessayer plus tard ou appelez la billetterie au {mainphone}
10270	Paramètre de sortie manquant ou invalide "{error}". S'il vous plaît appelez la billetterie au {mainphone}
10271	Il n'a pas été possible de retenir les billets - Pour un abonnement de saison, un certain nombre d'événements doivent être séléctionnés.
10272	Il n'a pas été possible de retenir les billets - événements inattendus dans l'abonnement de saison au moment de l'ajout au panier.
10273	Il n'a pas été possible de retenir les billets - Erreur au moment de la vérification de l'abonnement de saison. {br}Contactez la billetterie au {mainphone}.
10274	Ajoutés à la Liste de Diffusion
10275	Compte a été ajouté
10276	Compte a été mis à jour
10277	{company} Merci pour votre commande (#{order_number})
10278	Demande de réinitialisation de mot de passe
10279	Demande de mot de passe à la configuration et à la création de compte complet
10280	Mot de passe a été mis à jour
10281	Compte a été bloqué
10282	Voulez-vous créer un compte?
10283	Mot de passe a besion d'au moins un chiffre (0-9)
10284	Mot de passe a besoin d'au moins un supérieur et un caractère en minuscule
10285	Mot de passe a besoin d'au moins un caractère spécial
10286	Mot de passe ne peut pas contenir des caractères répéter
